#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 08 13 00 128  2.4  5.6  6.34 16.67 10.73 275 1035.5   8.5 999.0 999.0 99.0 99.00
2007 01 08 14 00 111  2.5  4.9  5.84 16.67 10.38 278 1035.5   8.6 999.0 999.0 99.0 99.00
2007 01 08 15 00 119  2.3  5.1  5.96 16.67 10.71 276 1035.2   8.5 999.0 999.0 99.0 99.00
2007 01 08 16 00 186  4.1  5.3  5.89 16.67 10.55 281 1035.5   9.0 999.0 999.0 99.0 99.00
2007 01 08 17 00 186  6.0  7.1  5.78 16.67 10.82 275 1035.0   9.4 999.0 999.0 99.0 99.00
2007 01 08 18 00 170  5.6  7.6  5.53 16.67 10.62 277 1035.2   9.5 999.0 999.0 99.0 99.00
2007 01 08 19 00 174  6.0  7.6  5.33 16.67 10.46 273 1035.2   9.7 999.0 999.0 99.0 99.00
2007 01 08 20 00 180  6.4  7.9  4.63 16.67  9.70 271 1034.6   9.1 999.0 999.0 99.0 99.00
2007 01 08 21 00 175  8.1  9.8  4.34 14.29  9.65 271 1033.5   9.4 999.0 999.0 99.0 99.00
2007 01 08 22 00 182  8.6 10.8  4.07 14.29  9.00 277 1032.4   9.8 999.0 999.0 99.0 99.00
2007 01 08 23 00 180  8.9 11.1  4.60 14.29  9.67 272 1031.6  10.2 999.0 999.0 99.0 99.00
2007 01 09 00 00 188  7.8  9.5  4.08 14.29  9.26 276 1031.4   9.9 999.0 999.0 99.0 99.00
2007 01 09 01 00 201  6.8  8.1  3.91 14.29  8.95 269 1031.3   9.8 999.0 999.0 99.0 99.00
2007 01 09 02 00 201  7.3  8.8  4.19 12.50  9.14 279 1030.6  10.2 999.0 999.0 99.0 99.00
2007 01 09 03 00 201  6.7  8.5  4.32 14.29  9.33 276 1030.0  10.2 999.0 999.0 99.0 99.00
2007 01 09 04 00 201  7.2  8.3  3.91 14.29  9.00 273 1029.5  10.2 999.0 999.0 99.0 99.00
2007 01 09 05 00 197  7.3  8.4  4.14 12.50  9.28 281 1029.1  10.2 999.0 999.0 99.0 99.00
2007 01 09 06 00 195  7.5  8.4  3.76 14.29  9.20 274 1028.4   9.8 999.0 999.0 99.0 99.00
2007 01 09 07 00 197  7.0  8.2  3.39 14.29  8.60 273 1028.3   9.7 999.0 999.0 99.0 99.00
2007 01 09 08 00 197  6.5  7.8  3.50 14.29  8.98 275 1027.1   9.4 999.0 999.0 99.0 99.00
2007 01 09 09 00 203  6.7  8.2  2.75 12.50  7.97 275 1025.9   9.1 999.0 999.0 99.0 99.00
2007 01 09 10 00 202  7.0  8.4  2.92 12.50  8.19 266 1025.4   8.7 999.0 999.0 99.0 99.00
2007 01 09 11 00 196  7.2  8.8  2.88 14.29  8.28 266 1024.9   8.6 999.0 999.0 99.0 99.00
2007 01 09 12 00 194  8.0  9.0  3.17 14.29  8.82 265 1023.6   8.6 999.0 999.0 99.0 99.00
2007 01 09 13 00 191  8.2  9.6  2.66 12.50  7.75 269 1022.1   8.6 999.0 999.0 99.0 99.00
2007 01 09 14 00 193  8.9 10.8 99.00 99.00 99.00 999 1020.7   8.6 999.0 999.0 99.0 99.00
2007 01 09 15 00 193  9.7 12.0  2.76 12.50  7.30 268 1019.6   8.7 999.0 999.0 99.0 99.00
2007 01 09 16 00 193 10.6 12.9  2.80 12.50  7.21 273 1018.0   8.9 999.0 999.0 99.0 99.00
2007 01 09 17 00 186 11.9 14.4 99.00 99.00 99.00 999 1016.6   9.0 999.0 999.0 99.0 99.00
2007 01 09 18 00 185 12.4 15.6  2.85 12.50  6.06 271 1015.7   9.2 999.0 999.0 99.0 99.00
2007 01 09 19 00 191 13.8 16.8  3.25 10.00  6.39 277 1015.0   9.4 999.0 999.0 99.0 99.00
2007 01 09 20 00 201 14.7 17.8  3.46 10.00  6.50 274 1013.2   9.3 999.0 999.0 99.0 99.00
2007 01 09 21 00 200 14.3 17.6  3.96  7.69  6.68 252 1011.7   9.4 999.0 999.0 99.0 99.00
2007 01 09 22 00 211 14.8 19.1  4.26 10.00  7.12 273 1010.5   9.5 999.0 999.0 99.0 99.00
2007 01 09 23 00 282 12.4 15.1  3.92  8.33  6.75 264 1012.4   7.1 999.0 999.0 99.0 99.00
2007 01 10 00 00 296 12.7 16.2  3.82 11.11  6.78 282 1013.2   6.5 999.0 999.0 99.0 99.00
2007 01 10 01 00 305 10.8 13.3  3.99 10.00  7.02 278 1014.2   6.4 999.0 999.0 99.0 99.00
2007 01 10 02 00 299 13.3 15.6  4.26 11.11  7.30 278 1014.5   6.3 999.0 999.0 99.0 99.00
2007 01 10 03 00 296 12.1 15.4  3.81 10.00  6.73 266 1015.1   5.3 999.0 999.0 99.0 99.00
2007 01 10 04 00 296 14.0 18.4  4.27 11.11  7.23 275 1015.4   4.4 999.0 999.0 99.0 99.00
2007 01 10 05 00 300 10.4 14.6  4.67 11.11  7.73 284 1015.4   6.2 999.0 999.0 99.0 99.00
2007 01 10 06 00 308 10.6 13.3  4.11 11.11  7.44 282 1015.9   6.1 999.0 999.0 99.0 99.00
