#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 07 05 50 281  8.1 10.1  2.11 13.79  6.52 276 1006.1   8.0  10.6   2.0 99.0 99.00
2019 01 07 06 50 302  8.0 10.4  2.26  8.33  6.93 271 1007.0   8.4  10.6   1.3 99.0 99.00
2019 01 07 07 50 295  8.3 10.3  2.35 12.90  6.81 262 1008.2   8.4  10.6   2.5 99.0 99.00
2019 01 07 08 50 310  7.4  9.3  2.36  8.33  6.59 306 1009.4   8.3  10.6   1.3 99.0 99.00
2019 01 07 09 50 300  5.6  7.2  2.50  8.33  6.76 303 1010.4   8.3  10.6   1.8 99.0 99.00
2019 01 07 10 50 289  5.3  6.7  2.59  8.33  7.06 288 1011.8   8.6  10.6   1.2 99.0 99.00
2019 01 07 11 50 222  3.5  4.5  2.78  8.33  6.97 291 1012.8   7.8  10.5   1.0 99.0 99.00
2019 01 07 12 50 273  4.9  6.7  2.86  9.09  7.19 306 1013.4   8.8  10.5   0.3 99.0 99.00
2019 01 07 13 50 269  5.9  7.9  2.95  8.33  7.33 294 1014.9   9.0  10.5  -0.9 99.0 99.00
2019 01 07 14 50 241  5.2  6.4  3.01 11.43  7.56 279 1015.3   8.7  10.4   2.4 99.0 99.00
2019 01 07 15 50 232 10.4 11.8  2.93 10.81  7.42 287 1015.9   8.0  10.5   3.4 99.0 99.00
2019 01 07 16 50 154  3.8  5.3  2.72 10.00  7.16 288 1017.4   7.3  10.5   2.5 99.0 99.00
2019 01 07 17 50 105  1.6  2.9  2.92 10.81  7.54 303 1018.7   7.9  10.5   1.9 99.0 99.00
2019 01 07 18 50 163  3.0  4.2  2.70 11.43  7.49 311 1019.1   8.6  10.5   1.6 99.0 99.00
2019 01 07 19 50 155  6.7  8.5  2.38 10.81  7.11 306 1019.1   8.3  10.5   3.7 99.0 99.00
2019 01 07 20 50 169  6.9  9.0  2.47 10.81  7.20 294 1019.4   7.4  10.5   2.9 99.0 99.00
2019 01 07 21 50 119  3.9  6.2  2.48 10.81  7.47 307 1019.7   7.5  10.5   2.0 99.0 99.00
2019 01 07 22 50  90  6.3  8.4  2.47 11.43  7.67 314 1020.0   7.4  10.5   3.9 99.0 99.00
2019 01 07 23 50  87  7.9  9.9  2.30 10.81  7.39 311 1020.2   7.7  10.5   4.4 99.0 99.00
2019 01 08 00 50  86  8.7 10.7  2.08 10.00  6.44 316 1020.2   7.6  10.5   4.9 99.0 99.00
2019 01 08 01 50  85 10.1 11.7  2.11 11.43  6.24 296 1019.3   7.5  10.5   4.9 99.0 99.00
2019 01 08 02 50  84 10.4 12.2  2.14 10.00  6.29 303 1018.9   7.3  10.5   4.3 99.0 99.00
2019 01 08 03 50  83 10.5 12.5  2.02 10.81  6.17 280 1018.2   7.2  10.5   4.3 99.0 99.00
2019 01 08 04 50  85 11.1 13.2  2.08 10.00  5.99 298 1017.2   7.5  10.5   4.2 99.0 99.00
2019 01 08 05 50  89 11.4 13.6  1.85 10.00  5.47 296 1016.4   7.8  10.5   3.7 99.0 99.00
2019 01 08 06 50  89 11.3 14.2  1.89 10.81  5.33 286 1015.8   8.3  10.5   2.8 99.0 99.00
2019 01 08 07 50  89 10.7 13.3  1.75 11.43  5.21 267 1015.1   8.1  10.5   2.7 99.0 99.00
2019 01 08 08 50  87 11.4 13.4  1.66 10.00  5.20 300 1014.3   8.2  10.4   2.8 99.0 99.00
2019 01 08 09 50  91 11.4 14.0  1.81  4.76  5.04 102 1013.4   8.7  10.4   3.4 99.0 99.00
2019 01 08 10 50  93 11.1 13.2  1.83  5.00  5.12  85 1013.1   8.4  10.4   4.3 99.0 99.00
2019 01 08 11 50  92 12.4 14.5  1.90  5.00  5.06  97 1011.8   7.6  10.4   5.7 99.0 99.00
2019 01 08 12 50  94 12.0 13.8  1.89  5.00  5.03  96 1010.7   8.0  10.4   5.9 99.0 99.00
2019 01 08 13 50  99 12.0 14.9  1.90  5.26  4.78  93 1010.2   8.3  10.4   6.4 99.0 99.00
2019 01 08 14 50  93 12.9 15.2  2.04  5.26  4.91  91 1009.6   7.9  10.4   6.6 99.0 99.00
2019 01 08 15 50  93 12.4 14.9  2.09  5.26  5.15  99 1008.7   8.6  10.4   6.4 99.0 99.00
2019 01 08 16 50  97 12.4 15.6  2.30  5.26  5.31 110 1008.7   9.3  10.4   7.1 99.0 99.00
2019 01 08 17 50 100 12.4 15.0  2.39  5.26  5.64 113 1008.1   9.6  10.4   7.0 99.0 99.00
2019 01 08 18 50 101 13.1 15.5  2.63 10.00  5.93 225 1007.4  10.2  10.4   6.9 99.0 99.00
2019 01 08 19 50  95 10.9 13.8  2.65 10.00  5.97 216 1006.6  10.0  10.4   7.0 99.0 99.00
2019 01 08 20 50  97 11.2 13.7  2.69 10.00  6.08 209 1006.0   9.9  10.5   6.8 99.0 99.00
2019 01 08 21 50 133  8.9 10.7  2.53 10.00  6.28 200 1005.5  11.7  10.5   8.9 99.0 99.00
2019 01 08 22 50 101 12.4 14.9  2.75 10.00  6.33 210 1005.1  10.6  10.5   7.0 99.0 99.00
2019 01 08 23 50 110 10.1 12.2  2.74 10.81  6.44 203 1005.0  11.1  10.5   8.3 99.0 99.00
2019 01 09 00 50 124 10.2 13.6  2.80 10.81  6.82 212 1005.5  11.6  10.5   8.3 99.0 99.00
2019 01 09 01 50  97 11.3 13.8  2.92 10.81  6.57 206 1004.9  10.1  10.5   7.5 99.0 99.00
2019 01 09 02 50  94 12.0 14.2  3.02 11.43  6.88 208 1004.0  10.0  10.5   7.2 99.0 99.00
2019 01 09 03 50  95 11.9 14.1  3.04 10.81  6.84 204 1003.5  10.2  10.5   6.8 99.0 99.00
2019 01 09 04 50 105 11.1 14.3  3.72 12.12  7.73 219 1003.7  11.0  10.5   6.6 99.0 99.00
2019 01 09 05 50 101 10.9 13.5  3.99 12.12  8.12 216 1003.4  10.4  10.5   7.3 99.0 99.00
2019 01 09 06 50  96 10.2 12.7  4.22 10.81  8.66 195 1002.9   9.9  10.5   6.9 99.0 99.00
2019 01 09 07 50 111  9.2 11.0  4.14 12.90  8.84 211 1002.6  10.8  10.5   7.1 99.0 99.00
2019 01 09 08 50 106 10.3 12.4  4.94 12.90  9.75 212 1002.0  10.6  10.5   7.5 99.0 99.00
