#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 01 05 08 50 164  6.3  7.4  1.57 12.90  6.60 270 1019.5  10.0  10.7 999.0 99.0 99.00
2013 01 05 09 50 164  5.8  6.5  1.85 11.43  7.19 280 1019.5  10.0  10.7 999.0 99.0 99.00
2013 01 05 10 50 138  6.2  7.5  1.73 11.43  7.06 285 1019.2  10.0  10.7 999.0 99.0 99.00
2013 01 05 11 50 130  7.6  9.3  1.74 12.12  6.77 278 1018.5  10.2  10.7 999.0 99.0 99.00
2013 01 05 12 50 138  5.5  7.0  1.75 10.00  6.42 271 1018.5  10.1  10.6 999.0 99.0 99.00
2013 01 05 13 50 116  8.2 10.1  1.81 11.43  6.14 280 1017.6   9.2  10.6 999.0 99.0 99.00
2013 01 05 14 50 116  8.4 10.6  1.71 10.81  5.43 274 1017.3   9.2  10.6 999.0 99.0 99.00
2013 01 05 15 50 156  7.8  9.0  1.65 12.12  5.77 265 1018.1  10.8  10.6 999.0 99.0 99.00
2013 01 05 16 50 173  9.6 11.7  1.62 12.90  5.23 271 1018.6  10.6  10.6 999.0 99.0 99.00
2013 01 05 17 50 164 10.0 12.0  1.90 13.79  5.11 270 1018.8  10.8  10.6 999.0 99.0 99.00
2013 01 05 18 50 159  9.3 10.8  1.88 13.79  5.24 264 1019.3  10.4  10.6 999.0 99.0 99.00
2013 01 05 19 50 165 10.4 12.9  2.15 12.90  5.76 257 1018.7  10.5  10.6 999.0 99.0 99.00
2013 01 05 20 50 163 10.5 13.7  2.41 12.90  6.02 273 1018.0  10.4  10.5 999.0 99.0 99.00
2013 01 05 21 50 186  9.1 11.4  2.35 12.12  6.16 265 1018.2  10.1  10.5 999.0 99.0 99.00
2013 01 05 22 50 182  8.7 10.0  2.33 12.90  6.08 267 1018.3   9.7  10.3 999.0 99.0 99.00
2013 01 05 23 50 266  4.1  5.1  2.33 12.90  6.82 289 1018.8   9.1  10.3 999.0 99.0 99.00
2013 01 06 00 50 312  5.4  6.7  2.28 12.90  7.34 289 1019.1   8.7  10.4 999.0 99.0 99.00
2013 01 06 01 50 332  4.2  5.1  2.44 12.90  8.04 289 1019.4   8.9  10.4 999.0 99.0 99.00
2013 01 06 02 50 319  2.9  3.8  2.16 14.81  7.69 290 1019.7   9.0  10.6 999.0 99.0 99.00
2013 01 06 03 50 288  2.1  3.3  2.30 14.81  8.59 283 1020.2   9.0  10.5 999.0 99.0 99.00
2013 01 06 04 50 262  3.2  5.0  2.78 14.81  9.33 283 1020.5   9.1  10.5 999.0 99.0 99.00
2013 01 06 05 50 247  3.7  5.0  3.01 13.79 10.08 284 1020.6   8.9  10.5 999.0 99.0 99.00
2013 01 06 06 50 224  2.9  4.5  2.92 13.79  9.52 282 1021.0   8.9  10.5 999.0 99.0 99.00
2013 01 06 07 50 214  3.5  4.7  3.38 12.90 10.07 279 1021.0   8.6  10.5 999.0 99.0 99.00
2013 01 06 08 50 224  4.9  6.1  3.19 14.81 10.18 280 1020.8   9.2  10.5 999.0 99.0 99.00
2013 01 06 09 50 226  5.1  6.3  3.29 13.79  9.54 281 1020.9   9.2  10.6 999.0 99.0 99.00
2013 01 06 10 50 227  4.6  6.3  2.79 14.81  8.94 279 1020.8   9.0  10.6 999.0 99.0 99.00
2013 01 06 11 50 206  3.8  4.8  3.25 13.79  9.36 280 1020.5   8.9  10.6 999.0 99.0 99.00
2013 01 06 12 50 200  4.5  5.4  2.88 13.79  8.91 280 1020.3   9.0  10.6 999.0 99.0 99.00
2013 01 06 13 50 211  5.1  6.5  3.05 13.79  9.07 280 1020.3   9.1  10.6 999.0 99.0 99.00
2013 01 06 14 50 216  4.8  5.9  2.91 13.79  9.03 277 1020.6   9.1  10.5 999.0 99.0 99.00
2013 01 06 15 50 199  5.2  6.9  2.83 13.79  8.96 286 1020.4   9.3  10.5 999.0 99.0 99.00
2013 01 06 16 50 191  4.7  6.2  3.10 13.79  9.45 281 1020.7   9.0  10.4 999.0 99.0 99.00
2013 01 06 17 50 199  8.0  9.5  3.33 13.79  9.54 278 1020.8   9.4  10.4 999.0 99.0 99.00
2013 01 06 18 50 194  8.4  9.8  2.98 13.79  8.37 277 1020.8   9.6  10.4 999.0 99.0 99.00
2013 01 06 19 50 190  9.1 10.9  3.24 14.81  8.51 271 1019.8   9.6  10.4 999.0 99.0 99.00
2013 01 06 20 50 191 10.4 12.2  3.27 13.79  8.03 279 1019.4   9.7  10.5 999.0 99.0 99.00
2013 01 06 21 50 192 10.7 12.5  3.19 12.90  7.92 285 1018.5   9.7  10.4 999.0 99.0 99.00
2013 01 06 22 50 187 11.1 13.2  3.43 13.79  7.68 278 1018.0   9.8  10.4 999.0 99.0 99.00
2013 01 06 23 50 182 11.5 13.6  3.27 12.12  7.40 281 1017.3   9.9  10.4 999.0 99.0 99.00
2013 01 07 00 50 184 12.1 15.1  3.32 12.90  7.27 270 1017.1   9.5  10.4 999.0 99.0 99.00
2013 01 07 01 50 182 12.7 14.9  3.59 12.90  7.19 270 1016.2   8.8  10.4 999.0 99.0 99.00
2013 01 07 02 50 183 13.2 16.1  3.73 12.90  7.07 271 1015.5   9.0  10.5 999.0 99.0 99.00
2013 01 07 03 50 182 12.8 15.3  4.02 11.43  7.34 267 1015.1   9.2  10.5 999.0 99.0 99.00
2013 01 07 04 50 181 13.2 16.0  4.07 13.79  7.13 268 1013.9   9.6  10.6 999.0 99.0 99.00
2013 01 07 05 50 187 12.4 15.0  3.97 13.79  7.00 276 1013.7   9.9  10.6 999.0 99.0 99.00
2013 01 07 06 50 193 11.1 13.4  3.66 13.79  6.95 275 1013.5  10.2  10.6 999.0 99.0 99.00
2013 01 07 07 50 213  9.8 11.4  3.42 12.90  6.82 279 1013.7  10.3  10.6 999.0 99.0 99.00
2013 01 07 08 50 220  8.9 10.8  3.48 13.79  7.20 280 1013.7  10.3  10.6 999.0 99.0 99.00
2013 01 07 09 50 224  9.1 10.9  3.25 14.81  7.08 286 1013.5  10.3  10.6 999.0 99.0 99.00
2013 01 07 10 50 222 10.4 12.5  3.00 13.79  7.11 278 1013.0  10.2  10.6 999.0 99.0 99.00
2013 01 07 11 50 222  9.6 11.6  2.94 12.90  6.81 273 1013.1  10.3  10.6 999.0 99.0 99.00
2013 01 07 12 50 235 11.1 12.8  2.82 12.12  6.34 275 1012.2  10.4  10.7 999.0 99.0 99.00
2013 01 07 13 50 238 11.5 13.8  3.20 11.43  6.74 277 1011.6  10.4  10.7 999.0 99.0 99.00
2013 01 07 14 50 252 11.1 13.0  2.95 10.81  6.54 285 1012.6  10.5  10.7 999.0 99.0 99.00
2013 01 07 15 50 254 10.3 12.6  3.16 12.12  6.82 276 1013.3  10.5  10.7 999.0 99.0 99.00
2013 01 07 16 50 255 10.1 13.3  2.87 11.43  6.47 273 1015.1  10.4  10.7 999.0 99.0 99.00
2013 01 07 17 50 237  8.9 11.1  3.07 12.12  6.74 273 1016.4  10.2  10.7 999.0 99.0 99.00
2013 01 07 18 50 244  9.7 11.0  3.31 12.12  7.06 282 1017.5  10.0  10.7 999.0 99.0 99.00
2013 01 07 19 50 256  9.0 11.4  3.11 10.00  6.67 273 1018.1   9.8  10.7 999.0 99.0 99.00
2013 01 07 20 50 264  9.0 10.5  2.95  8.33  6.79 272 1018.5   9.6  10.7 999.0 99.0 99.00
2013 01 07 21 50 269  9.1 11.2  3.33 10.00  7.13 276 1019.5  10.1  10.7 999.0 99.0 99.00
2013 01 07 22 50 283  8.6 10.0  3.07  9.09  6.93 279 1020.2  10.2  10.7 999.0 99.0 99.00
2013 01 07 23 50 289  8.2 10.5  3.12  9.09  7.00 269 1020.6  10.1  10.7 999.0 99.0 99.00
2013 01 08 00 50 296  7.7  9.4  3.10 10.00  6.84 274 1021.1  10.1  10.6 999.0 99.0 99.00
2013 01 08 01 50 291  6.8  8.5  3.38 10.81  7.28 279 1021.3  10.0  10.6 999.0 99.0 99.00
2013 01 08 02 50 287  4.9  6.2  3.20 10.00  7.22 277 1021.4   9.9  10.6 999.0 99.0 99.00
2013 01 08 03 50 251  4.9  6.1  3.09 10.00  7.39 274 1021.5   9.8  10.6 999.0 99.0 99.00
2013 01 08 04 50 263  4.0  5.5  3.01 11.43  7.45 276 1021.5   9.7  10.6 999.0 99.0 99.00
2013 01 08 05 50 230  4.2  5.2  3.27 10.81  7.84 278 1021.5   9.7  10.6 999.0 99.0 99.00
2013 01 08 06 50 191  3.6  4.4  3.10 10.81  7.77 280 1021.5   9.6  10.6 999.0 99.0 99.00
2013 01 08 07 50 177  5.6  6.7  3.08 12.90  7.93 283 1021.6   9.8  10.6 999.0 99.0 99.00
2013 01 08 08 50 167  6.1  7.2  3.20 10.81  7.95 281 1020.9   9.7  10.6 999.0 99.0 99.00
2013 01 08 09 50 176  8.9 10.7  3.25 11.43  7.95 275 1019.9   9.7  10.6 999.0 99.0 99.00
2013 01 08 10 50 170  7.4  8.7  3.12 11.43  7.52 277 1019.5   9.0  10.6 999.0 99.0 99.00
2013 01 08 11 50 151  8.6 10.3  3.16 12.12  7.51 286 1018.0   8.6  10.6 999.0 99.0 99.00
2013 01 08 12 50 143 10.3 13.1  3.25 10.00  7.38 278 1016.1   8.9  10.6 999.0 99.0 99.00
2013 01 08 13 50 206 10.5 12.3  3.20 11.43  7.25 272 1014.9  10.5  10.6 999.0 99.0 99.00
2013 01 08 14 50 216 11.1 13.6  3.19 12.90  7.04 276 1014.8  10.6  10.6 999.0 99.0 99.00
2013 01 08 15 50 214 11.7 14.4  2.83 11.43  6.58 279 1014.6  10.6  10.6 999.0 99.0 99.00
2013 01 08 16 50 215 11.9 14.6  3.08 11.43  6.65 278 1015.1  10.6  10.5 999.0 99.0 99.00
2013 01 08 17 50 207 12.2 14.3  3.31 12.90  6.81 267 1015.2  10.5  10.5 999.0 99.0 99.00
